,Name,RI,RQ,Food,Recipe Drop,Ingredients,Effect
,Baandari Mutton Stew (Recipe),RI 1,RQ 1,Level 15 Food,20px|Daggerfall Covenant Character,Mutton Flank and Thin Broth,Max Magicka +126
,Invigorated Baandari Mutton Stew (Recipe),RI 1,RQ 2,Level 15 Food,20px|Daggerfall Covenant Character,Mutton Flank and Thin Broth,Max Magicka and Stamina +115
,Bear Soup (Recipe),RI 1,RQ 1,Level 10 Food,20px|Daggerfall Covenant Character,Bear Haunch and Thin Broth,Max Magicka +96
,Invigorated Bear Soup (Recipe),RI 1,RQ 2,Level 10 Food,20px|Daggerfall Covenant Character,Bear Haunch and Thin Broth,Max Magicka and Stamina +91
,Capon Noodle Soup (Recipe),RI 1,RQ 1,Level 1 Food,20px|Daggerfall Covenant Character,Capon Meat and Thin Broth,Max Magicka +42
,Century Soup (Recipe),RI 1,RQ 1,Level 5 Food,20px|Aldmeri Dominion Character,Guar Eggs and Thin Broth,Max Magicka +66
,Goat Bone Soup (Recipe),RI 1,RQ 1,Level 1 Food,20px|Ebonheart Pact Character,Goat Meat and Thin Broth,Max Magicka +42
,Liver Goulash (Recipe),RI 1,RQ 1,Level 15 Food,20px|Aldmeri Dominion Character,Liver and Thin Broth,Max Magicka +126
,Invigorated Liver Goulash (Recipe),RI 1,RQ 2,Level 15 Food,20px|Aldmeri Dominion Character,Liver and Thin Broth,Max Magicka and Stamina +115
,Poached Kwama Egg (Recipe),RI 1,RQ 1,Level 5 Food,20px|Ebonheart Pact Character,Kwama Eggs and Thin Broth,Max Magicka +66
,Pork Soup (Recipe),RI 1,RQ 1,Level 1 Food,20px|Aldmeri Dominion Character,Pork and Thin Broth,Max Magicka +42
,Scuttle Fondue (Recipe),RI 1,RQ 1,Level 10 Food,20px|Ebonheart Pact Character,Scuttle Meat and Thin Broth,Max Magicka +96
,Invigorated Scuttle Fondue (Recipe),RI 1,RQ 2,Level 10 Food,20px|Ebonheart Pact Character,Scuttle Meat and Thin Broth,Max Magicka and Stamina +91
,Stewed Battaglir (Recipe),RI 1,RQ 1,Level 5 Food,20px|Daggerfall Covenant Character,Battaglir Weeds and Thin Broth,Max Magicka +66
,Sweetmeat Surprise (Recipe),RI 1,RQ 1,Level 10 Food,20px|Aldmeri Dominion Character,Sweetmeats and Thin Broth,Max Magicka +96
,Invigorated Sweetmeat Surprise (Recipe),RI 1,RQ 2,Level 10 Food,20px|Aldmeri Dominion Character,Sweetmeats and Thin Broth,Max Magicka and Stamina +91
,Wriggles-in-Gullet (Recipe),RI 1,RQ 1,Level 15 Food,20px|Ebonheart Pact Character,Plump Worms and Thin Broth,Max Magicka +126
,Invigorated Wriggles-in-Gullet (Recipe),RI 1,RQ 2,Level 15 Food,20px|Ebonheart Pact Character,Plump Worms and Thin Broth,Max Magicka and Stamina +115
,Combwort Confit (Recipe),RI 2,RQ 1,Level 20 Food,20px|Daggerfall Covenant Character,Combwort and Broth,Max Magicka +156
,Invigorated Combwort Confit (Recipe),RI 2,RQ 2,Level 20 Food,20px|Daggerfall Covenant Character,Combwort and Broth,Max Magicka and Stamina +139
,Elsweyr Fondue (Recipe),RI 2,RQ 1,Level 25 Food,20px|Aldmeri Dominion Character,Moon Sugar and Broth,Max Magicka +186
,Invigorated Elsweyr Fondue (Recipe),RI 2,RQ 2,Level 25 Food,20px|Aldmeri Dominion Character,Moon Sugar and Broth,Max Magicka and Stamina +163
,Goat Stew (Recipe),RI 2,RQ 1,Level 20 Food,20px|Aldmeri Dominion Character,Goat Bits and Broth,Max Magicka +156
,Invigorated Goat Stew (Recipe),RI 2,RQ 2,Level 20 Food,20px|Aldmeri Dominion Character,Goat Bits and Broth,Max Magicka and Stamina +139
,Jugged Venison (Recipe),RI 2,RQ 1,Level 25 Food,20px|Daggerfall Covenant Character,Venison and Broth,Max Magicka +186
,Invigorated Jugged Venison (Recipe),RI 2,RQ 2,Level 25 Food,20px|Daggerfall Covenant Character,Venison and Broth,Max Magicka and Stamina +163
,Slumgullion (Recipe),RI 2,RQ 1,Level 25 Food,20px|Ebonheart Pact Character,Plump Maggots and Broth,Max Magicka +186
,Invigorated Slumgullion (Recipe),RI 2,RQ 2,Level 25 Food,20px|Ebonheart Pact Character,Plump Maggots and Broth,Max Magicka and Stamina +163
,Squeak Soup (Recipe),RI 2,RQ 1,Level 20 Food,20px|Ebonheart Pact Character,Plump Rodent Toes and Broth,Max Magicka +156
,Invigorated Squeak Soup (Recipe),RI 2,RQ 2,Level 20 Food,20px|Ebonheart Pact Character,Plump Rodent Toes and Broth,Max Magicka and Stamina +139
,Breton Stew (Recipe),RI 3,RQ 1,Level 35 Food,20px|Daggerfall Covenant Character,Flank Steak and Stock,Max Magicka +246
,Invigorated Breton Stew (Recipe),RI 3,RQ 2,Level 35 Food,20px|Daggerfall Covenant Character,Flank Steak and Stock,Max Magicka and Stamina +211
,Consummate Breton Stew (Recipe),RI 3,RQ 3,Level 35 Food,20px|Daggerfall Covenant Character,Flank Steak and Stock,"Max Health, Magicka and Stamina +270"
,Chaurus-in-Carapace (Recipe),RI 3,RQ 1,Level 30 Food,20px|Ebonheart Pact Character,Chaurus Meat and Stock,Max Magicka +216
,Invigorated Chaurus-in-Carapace (Recipe),RI 3,RQ 2,Level 30 Food,20px|Ebonheart Pact Character,Chaurus Meat and Stock,Max Magicka and Stamina +187
,Crawdad Etoufee (Recipe),RI 3,RQ 1,Level 30 Food,20px|Aldmeri Dominion Character,Crawdad and Stock,Max Magicka +216
,Invigorated Crawdad Etoufee (Recipe) *,RI 3,RQ 2,Level 30 Food,20px|Aldmeri Dominion Character,Crawdad and Stock,Max Magicka and Stamina +187
,Horker Stew (Recipe),RI 3,RQ 1,Level 30 Food,20px|Daggerfall Covenant Character,Horker Meat and Stock,Max Magicka +216
,Invigorated Horker Stew (Recipe),RI 3,RQ 2,Level 30 Food,20px|Daggerfall Covenant Character,Horker Meat and Stock,Max Magicka and Stamina +187
,Saltrice Slurry (Recipe) *,RI 3,RQ 1,Level 35 Food,20px|Aldmeri Dominion Character,Saltrice and Stock,Max Magicka +246
,Invigorated Saltrice Slurry (Recipe),RI 3,RQ 2,Level 35 Food,20px|Aldmeri Dominion Character,Saltrice and Stock,Max Magicka and Stamina +211
,Consummate Saltrice Slurry (Recipe),RI 3,RQ 3,Level 35 Food,20px|Aldmeri Dominion Character,Saltrice and Stock,"Max Health, Magicka and Stamina +270"
,Swamp Soup (Recipe),RI 3,RQ 1,Level 35 Food,20px|Ebonheart Pact Character,Frog Legs and Stock,Max Magicka +246
,Invigorated Swamp Soup (Recipe),RI 3,RQ 2,Level 35 Food,20px|Ebonheart Pact Character,Frog Legs and Stock,Max Magicka and Stamina +211
,Consummate Swamp Soup (Recipe),RI 3,RQ 3,Level 35 Food,20px|Ebonheart Pact Character,Frog Legs and Stock,"Max Health, Magicka and Stamina +270"
,Imperial City Stew (Recipe),RI 4,RQ 1,Level 45 Food,20px|Daggerfall Covenant20px|Aldmeri Dominion20px|Ebonheart Pact Character,Shank and Jus,Max Magicka +306
