Rumor,Quest (choice)
"|""It's a shame about all those Fort Zeren refugees. Thank goodness you were at the docks, though!""",Breaking the Tide
"|""You were at Fort Zeren. All those refugees... Good thing you were there.""",Zeren in Peril
"|""They tell me you brought the Nords, Argonians, and Dunmer together to defeat Balreth.""",The Death of Balreth
"|""You're the hero of Ash Mountain, the slayer of Balreth!""",The Death of Balreth
"|""Because of you, the Pact was able to defend Vivec's Antlers.""",The Coral Heart
"|""You and Tanval kept that monster Sadal at bay. Thank you!""",Sadal's Final Defeat
"|""If it weren't for your heroism and Tanval's sacrifice, Stonefalls would've been destroyed by that monster.""",Sadal's Final Defeat
"|""Is it true that this Llodos Plague turned whatever it touched into a zombie?""",Plague Bringer
"|""An egg brother betrays his people in Silent Mire? Sithis take him for doing such a thing!""",The Saving of Silent Mire
"|""The Dark Elves' Saint Veloth, his spirit apparently lingers at his shrine. I find that rather disturbing.""",A Saint Asunder
"|""You have saved many lives by ending Vox's threat. What you did was good and right.""",The Judgment of Veloth
"|""What kind of monster orders our hatchlings murdered? I spit in Queen Ayrenn's eye!""",Keepers of the Shell
"|""To be the last Kothringi...such a lonely thing. You must visit Drillk, now and again.""",Into the Temple (If Drillk lives)
"|""Kothringi or not, Drillk returned to the Hist. I don't care what my egg-sisters think.""",Into the Temple (If Drillk dies)
"|""You showed the Dominion at Murkwater. Burn, milk-suckers, burn! Ha!""",Scales of Retribution
"|""May Ruuvitar rot. Do we slaughter Dominion children in their cribs? It is not done!""",The Dream of the Hist
"|""The Hatching Pools recover, due to your efforts. You are truly a friend to the Hist.""",The Dream of the Hist
"|""Even with all of the Ebonheart Pact gathered, a spy managed to slip through and poison the King? Is this alliance that weak?""",The War Council
"|""There's the one that uncovered the plot against Jorunn the Skald-King.""",The War Council
"|""A Nord offered me something called Giant's Toe Mead. It was disgusting, but I pretended to like it.""",A Council of Thanes
"|""Hail, Stral-killer!""",Through the Shroud
"|""I hear you taught the Reachman Stral a bloody lesson.""",Through the Shroud
"|""You brought hope to the Gray Mire. There is so little, for my people. Thank you.""",Scars Never Fade (Allow the Argonians to stay)
"""Sun on my scales! An Argonian woman made special advisor to the head of the Fighters Guild!""",Will of the Council (If Sees-All-Colors is spared)
"|""I was nervous, thinking of trying to take the Chasm. It was tough, but we did it.""",Crossing the Chasm
