Place,Boss,Set,Item Name
Auridon
The Banished Cells I,Cell Haunter,Jailbreaker,Reanimating Pendant
Shadowrend,Jailbreaker,Render's Axe
Tormentor,Darktarge
Angata the Clannfear Handler,Sanctuary,Angata's Signet
Skeletal Destroyer,Tormentor,Vertebral Ring
High Kinlord Rilis,Jailbreaker,Guilehammer
Sanctuary,High Kinlord's Revenge
Place,Boss,Set,Item Name
The Banished Cells II,Keeper Areldur,Sanctuary,Areldur's Ring
Maw of the Infernal,Sanctuary,Staff of Conflagration
Keeper Voranil,Tormentor,Keeper's Insignia
Tormentor,Keeper's Medallion
Keeper Imiril,Jailbreaker,Firetooth
Sister Vera and Sister Sihna,Sanctuary,Talisman of the Sisters
High Kinlord Rilis,Sanctuary,Staff of the Banished
Jailbreaker,Corruptor's Maul
