,Name,Line Rank,Skill Rank,Description
,Tailoring,1,​,Allows the use of Jute and Rawhide.
5,,Allows the use of Flax and Hide.
10,,Allows the use of Cotton and Leather.
15,,Allows the use of Spidersilk and Thick Leather.
20,,Allows the use of Ebonthread and Fell Hide.
25,,Allows the use of Kresh Fiber and Topgrain Hide.
30,,Allows the use of Ironthread and Iron Hide.
35,,Allows the use of Silverweave and Superb Hide.
40,,Allows the use of Void Cloth and Shadowhide.
50,,Allows the use of Ancestor Silk and Rubedo Leather.
,Keen Eye: Cloth,2,,Fibrous plants in the world will be easier to see when you are 20 meters or closer.
9,,Fibrous plants in the world will be easier to see when you are 30 meters or closer.
30,,Fibrous plants in the world will be easier to see when you are 40 meters or closer.
,Outfitter Hireling,3,,A hireling will send you some clothing materials and possibly other items every day.
12,,A hireling will send you more clothing materials and possibly other items every day. You have a chance at better quality materials.
32,,A hireling will send you even more clothing materials and possibly other items every day. You have a greater chance at better quality materials.
,Unraveling,4,,Improves the chances of extracting Clothing ingredients and allows the refining of more powerful tannins from raw materials.
22,,Greatly improves the chances of extracting Clothing ingredients and allows the refining of more powerful tannins from raw materials.
32,,Maximizes the chances of extracting Clothing ingredients and allows the refining of the most powerful tannins from raw materials.
,Stitching,8,,Reduces research times by 5% and allows the research of two items at once.
18,,Reduces research times by 10% and allows the research of two items at once.
28,,Reduces research times by 20% and allows the research of three items at once.
45,,"Reduces research times by 25%, limits research time to 10 days, and allows the research of three items at once."
,Tannin Expertise,10,,Increases the chances of improving items with tannins.
25,,Greatly increases the chances of improving items with tannins.
40,,More than doubles the chances to improve items with tannins.
