Rumor,Quest (choice)
"|""I heard you let that woman at Phaer have real justice. Auri-El would approve.""",The First Patient (Let Velatosse exact her revenge on Hendil)
"|""I've heard of your deeds in Phaer, traveler. That was justice well done.""",The First Patient
"|""You stood in the ruins of Ezduiin. The halls of the Ancients.""",The Mallari-Mora
"|""You should've killed every last one of those Toothmaul Goblins. Why let their chief walk free?""",The Toothmaul Ploy (Let the goblins go free)
"|""The slayer of high kinlady Estre. Here, among us!""",Sever All Ties
"|""My brother was stationed at Firsthold. Thank you.""",Sever All Ties
"|""Firsthold...so much death. I hear the place still smells of fire and death.""",Sever All Ties
"|""I wonder how long Southpoint's mayor will survive in the Shivering Isles. Hopefully, not very.""",The Grip of Madness (Let Mayor Aulus live)
"|""Is it true you saved those priceless relics from the Worm Cultists in Rulanyil's Fall? What a brave gesture!""",The Dead King
"|""The moors outside of Longhaven were home to vampires. Can you imagine!""",Mist and Shadow
"|""Say, you're the one who exposed that swindler Endarwe, aren't you? Ha! Ayleid warlord my arse.""",The Dead King
"|""Did you really destroy the Daedric portal at Moonhenge all by yourself?""",Moonhenge's Tear
"|""The Daedra opened a portal at Moonhenge, and some hero collapsed it single-handedly.""",Moonhenge's Tear
"|""You're the hero who single-handedly stopped the Daedric invasion at Moonhenge!""",Moonhenge's Tear
"|""The Veiled Heritance is broken, there is a new Silvenar, and we have you to thank!""",Striking at the Heart
"|""Valenwood still exists because you defeated the Veiled Heritance. I honor you.""",Striking at the Heart
"|""You saw a spectral wolf that spoke like a man? Takes all kinds, I guess.""",Reap What Is Sown
"|""I heard about Mathragor. You know what it means to settle a score.""",Payment In Kind (Let Mathragor exact his revenge upon the Drublog)
"|""I'm glad you put an end to this Hound business. All Bosmer are in your debt.""",A Wedding to Attend
"|""You were at the Green Lady's wedding, weren't you? She must have been resplendent.""",A Wedding to Attend
"|""I heard you fought beside the Champions at Grimwatch! By the Green!""",Grimmer Still
"|""Hah, my brother was at your final match at Thizzrini! Well done!""",The Champion Division
"|""Sud-Hareem's a friend of mine - I want to thank you for saving him and his son.""",Blood Relations (Spare At'avar)
"|""I heard that people were beaten and starving down in that Tower of Lies prison. I wonder if they were hungry enough to... never mind.""","Truth, Lies, and Prisoners"
"|""They say Molag Grunda guarded the gatehouse on the Chasm. I didn't see her. Nor did I want to.""",Crossing the Chasm
