Place,Boss/Quest,Set,Item Name,Description
Shadowfen
Alten Corimont,A Pirate Parley,Swamp Raider,Sailcutter Dagger,A reward from Vicecanon Servyna for helping One-Eye end the Dominion's trading in Shadowfen.
Atanaz Ruins,Stormscale,Swamp Raider,Swamp Raider's Bile-Soaked Boots,These boots have a thin coating of foul-smelling mucus.
Strength of the Father,Hatchling's Shell,Chieftain's Greaves,"You cured Mozgosh, fulfilling her father's dying wish. In return, she gifted you these sturdy greaves."
Arx Corinium,Force of Nature,Lamia's Song,Lamia's Boon of the Three Sisters,A gift from the Nereids of Arx Corinium.
Bitterroot Cave,Urrai,Swamp Raider,Swamp Raider's Crocodile Skin,These leggings are soft yet durable.
Broken Tusk,Naeraizozan,Robes of the Hist,Naeraizozan's Band of Hist Sap,This ring causes pain in the hand it is worn upon.
Will of the Broken,Robes of the Hist,Staff of Deadfire,A priestess of Arkay thanked you with this fiery staff after you brought her a cursed Daedric urn from the ruins of Broken Tusk.
Camp Merciful Reduction,Cold-Blooded Revenge,Hatchling's Shell,Fen Dancer's Poleyns,Nabbed by Prowls-in-Stealth from the Dominion soldiers who killed his people after you helped exact his revenge.
Captain Bones' Ship,Captain Bones,Swamp Raider,Swamp Raider's Boneaxe,The blade of this axe is jagged and sharp.
Chid-Moska Ruins,Lirlane,Robes of the Hist,Shield of the Third House of Hist Sap,This shield bears an inscrutable insignia.
Catch the Lightning,Hatchling's Shell,Ring of Grounding,"After a few shocking events, you earned this ring for helping Gathotar catch wamasu lightning."
Deep Graves,Broken Apart,Swamp Raider,Wispcutter,A fine axe awarded for dispersing the illusions of the wispmother that posed as Valrendil's wife.
Forsaken Hamlet,The Tree-Minder's Fate,Robes of the Hist,Bogstaff,Bequeathed by Tree-Minder for returning her tribe to the Hist after they were slaughtered by the Dominion.
Gandranen Ruins,Fenlord,Robes of the Hist,Deepswamp Staff of Hist Sap,This staff is soaked with acrid swamp water.
Riches Beyond Measure,Robes of the Hist,Looter's Helm,A helm fit for ruin-rummaging. Zahra gave it to you after you helped her nab the Crown of Ascension.
Hatching Pools,Keepers of the Shell,Hatchling's Shell,Egg-Tender's Guard,Vicecanon Servyna gave you these gloves for saving the eggs at the Hatching Pools in Shadowfen.
Outside Interference,Robes of the Hist,Hatching's Keepsake Torc,Bestowed by the Keeper of the Shell after you uncovered a Dominion poultice that destroys Hist trees.
Threefold Folly,Swamp Raider,Fingerpicker,Erranenen thanked you with this ring for winning back his prized lute in a game of riddles at the Hatching Pools.
Haynekhtnamet's Lair,Haynekhtnamet,Swamp Raider,Swamp Raider's Fang of Haynekhtnamet,This dagger is made from a single jagged tooth.
Hissmir,Dreams From the Hist,Robes of the Hist,Draws-the-Sap Dagger,Awarded for successfully completing the Trials of the Burnished Scales in Shadowfen.
Trials of the Burnished Scales,Hatchling's Shell,Cuirass of the Fang,Kamax-Ei entrusted this dagger to you after you saved Hissmir from being captured by the Dominion.
Loriasel,The Dream of the Hist,Robes of the Hist,Ring of the Ghost Knight,This necklace oozes with the primordial power of the Hist.
