Greenshade
Place,Boss,Set,Item Name
City of Ash I,Infernal Guardian,Sunderflame,Wildmaul
Golor the Banekin Handler,Burning Spellweave,Scamplord's Signet
Warden of the Shrine,Burning Spellweave,Staff of the Grove
Embershield,Aegis of Ash
Dark Ember,Sunderflame,Ember Eye
Rothariel Flameheart,Embershield,Rothariel's Necklace
Razor Master Erthas,Sunderflame,Bow of the Deadlands
Embershield,Betrayer's Axe
Place,Boss,Set,Item Name
City of Ash II,Rukhan,Burning Spellweave,Rukhan's Rugged Kilt
Urata the Legion,Sunderflame,Urata's Mask of Mockery
Horvantud the Fire Maw,Burning Spellweave,Fire Maw's Fang
Ash Titan,Sunderflame,Splitting Axe of the Titan
Xivilai Boltaic and Xivilai Fulminator,Embershield,Charged Loop
Valkyn Skoria,Sunderflame,Skoria's Charred Claymore
