Activity,Description,Activity Reward
Complete 5 Quests,Complete quests throughout Tamriel.,File:ON-icon-store-Major Gold Coast Experience Scroll.png 2 Major Gold Coast Experience Scroll
Complete 10 Quests,Complete quests throughout Tamriel.,
Complete 15 Quests,Complete quests throughout Tamriel.,
Kill 1 World Bosses 20px,Kill World Bosses,File:ON-icon-food-Crown Fortifying Meal.png 20 Crown Fortifying Meals
Kill 3 World Bosses 20px,Kill World Bosses,
Complete 1 Group Dungeon,Complete Normal or Veteran Group Dungeons throughout Tamriel.,File:ON-icon-poison-Crown Lethal Poison.png 200 Crown Lethal Poison
Complete 10 Group Dungeons,Complete Normal or Veteran Group Dungeons throughout Tamriel.,
Use Ultimate Skills 20 Times,Unleash Ultimate Skills.,File:ON-icon-store-Major Gold Coast Experience Scroll.png Major Gold Coast Experience Scroll
Complete 1 Battleground Match,Complete Battleground matches (win or lose).,File:ON-icon-food-Crown Refreshing Drink.png 10 Crown Refreshing Drink
Complete 3 Battleground Match,Complete Battleground matches (win or lose).,
Complete 1 Trial 20px,Gather your allies and complete Trials.,
Kill 500 Enemies,Defeat foes across Tamriel.,File:ON-icon-store-Major Gold Coast Experience Scroll.png 2 Major Gold Coast Experience Scroll
Complete 1 Crafting Quest,"You can earn your crafting writ certification to qualify and then get to fulfilling writs today! Open the map, and look for the marketplace in most major cities across Tamriel. You'll find the crafting job boards nearby!",File:ON-icon-potion-Crown Tri-Restoration Potion.png 200 Crown Tri-Restoration Potion
Complete 3 Crafting Quests,"You can earn your crafting writ certification to qualify and then get to fulfilling writs today! Open the map, and look for the marketplace in most major cities across Tamriel. You'll find the crafting job boards nearby!",
Craft 50 Items with any skill,Craft items using any skill. Crafting stations can be found in most major cities.,
Refine Raw Materials 10 Times,Refine raw materials at their associated crafting station. Crafting stations can be found in most major cities.,File:ON-icon-store-Crown Repair Kit.png 10 Crown Repair Kit
Harvest 25 Resources from the World,"Harvest crafting resources from plants, ore veins, or any other natural deposit.",
Improve 5 Item/Items,Improve Items.,
Visit 5 Player Homes,Visit player homes.,File:ON-icon-store-Major Gold Coast Experience Scroll.png Major Gold Coast Experience Scroll
Place 5 Furnishings,Place furnishings from any category in a home you own.,
Scribe 1 Skill,"Skills can be Scribed at the Scribing Altar in the Scholarium beneath Eyevea. Complete the quest ""The Second Era of Scribing"" in order to gain access to the Scribing Altar.",File:ON-item-Luminous Ink.png 20 Luminous Ink
Earn 5 Ranks in a Skill Line,Earn ranks in any skill line. See the Skills menu for how to earn skill line ranks.,
Earn 10 Ranks in a Skill Line,Earn ranks in any skill line. See the Skills menu for how to earn skill line ranks.,File:ON-icon-store-Major Gold Coast Experience Scroll.png Major Gold Coast Experience Scroll
Kill 100 Foes with Class Skills,Finish off foes with class skills.,
Complete 8 Incursions,Overcome Incursions and World Events throughout Tamriel.,
Earn 5 Jester's Fest Boxes,Earn Jester's Festival Box or Stupendous Jester's Festival Boxes by participating in the Jester's Festival event.
Earn 15 Jester's Fest Boxes
