Activity,Description
Kill 10 Players in Cyrodiil,Kill enemy players in Cyrodiil.
Kill 50 Players in Cyrodiil,Kill enemy players in Cyrodiil.
Kill 150 Players in Cyrodiil,Kill enemy players in Cyrodiil.
Capture 1 Town in Cyrodiil,Capture towns in Cyrodiil.
Capture 3 Towns in Cyrodiil,Capture towns in Cyrodiil.
Capture 1 Keep in Cyrodiil,Capture keeps in Cyrodiil.
Capture 3 Keeps in Cyrodiil,Capture keeps in Cyrodiil.
Earn 50000 Alliance Points,"Earn Alliance Points by participating in Battlegrounds, Cyrodiil, or the Imperial City."
Deal 200000 Damage in Cyrodiil,Deal Damage in Cyrodiil.
Deal 500000 Damage in Cyrodiil,Deal Damage in Cyrodiil.
Deal 400000 Damage with Siege Weapons,"Deal damage with siege weapons like trebuchets, catapults, and ballistae in Cyrodiil (to players, guards, or keeps)."
Repair 60000 Damage to Structures in Cyrodiil,Use Door and Wall Repair Kits on structures in Cyrodiil.
