Tree,Skill,Cost
All Characters
Weapon Skills
Bow,Rapid Fire,175 Ultimate
Destruction Staff,Elemental Storm,250 Ultimate
Dual Wield,Lacerate,150 Ultimate
One Hand and Shield,Shield Wall,100 Ultimate
Restoration Staff,Panacea,100 Ultimate
Two Handed,Berserker Strike,150 Ultimate
Guild
Fighters Guild,Dawnbreaker,125 Ultimate
Mages Guild,Meteor,200 Ultimate
Psijic Order,Undo,165 Ultimate
Other
Assault,War Horn,250 Ultimate
Support,Barrier,200 Ultimate
Vampire,Blood Scion,320-350 Ultimate ††
Werewolf,Werewolf Transformation,400-300 Ultimate
Soul Magic,Soul Strike,175 Ultimate
