Level,Health,Duration,Immunity
10,1952,11.1,2.9
11,11.5,3.0
12,11.8,3.2
13,12.1,3.3
14,12.4,3.4
15,12.7,3.5
16,13.0,3.7
17,13.4,3.8
18,13.7,4.0
19,14.0,4.1
20,2797,14.3,4.2
21,14.6,4.3
22,14.9,4.5
23,15.3,4.6
24,15.6,4.7
25,15.9,4.9
26,16.2,5.0
27,16.5,5.1
28,16.8,5.2
29,17.2,5.4
30,3642,17.5,5.5
31,17.8,5.6
32,18.1,5.8
33,18.4,5.9
34,18.7,6.0
35,19.1,6.1
36,19.4,6.3
37,19.7,6.4
38,20.0,6.5
39,20.3,6.7
40,4487,20.6,6.8
41,21.0,6.9
42,21.3,7.0
43,21.6,7.2
44,21.9,7.3
45,22.2,7.4
46,22.6,7.6
47,22.9,7.7
48,23.2,7.8
49,23.5,8.0
50,4494,23.8,8.1
50 10,24.5,8.3
50 20,5078,25.1,8.6
50 30,25.4,8.7
50 40,5163,26.0,9.0
50 50,5585,26.4,9.1
50 60,5670,27.0,9.4
50 70,27.3,9.5
50 80,5754,27.9,9.8
50 90,28.3,9.9
50 100,6261,28.9,10.1
50 110,29.3,10.3
50 120,6346,29.8,10.5
50 130,30.2,10.7
50 140,6430,30.8,10.9
50 150,6684,31.1,11.0
50 160,31.4,11.2
