Level,Magicka,Duration
10,1772,11.1
11,11.5
12,11.8
13,12.1
14,12.4
15,12.7
16,13.0
17,13.4
18,13.7
19,14.0
20,2539,14.3
21,14.6
22,14.9
23,15.3
24,15.6
25,15.9
26,16.2
27,16.5
28,16.8
29,17.2
30,3305,17.5
31,17.8
32,18.1
33,18.4
34,18.7
35,19.1
36,19.4
37,19.7
38,20.0
39,20.3
40,4072,20.6
41,21.0
42,21.3
43,21.6
44,21.9
45,22.2
46,22.6
47,22.9
48,23.2
49,23.5
50,4532,23.8
50CP10,24.5
50CP20,4609,25.1
50CP30,25.4
50CP40,4686,26.0
50CP50,5069,26.4
50CP60,5146,27.0
50CP70,27.3
50CP80,5222,27.9
50CP90,28.3
50CP100,5682,28.9
50CP110,29.3
50CP120,5759,29.8
50CP130,30.2
50CP140,5836,30.8
50CP150,6066,31.1
50CP160,31.4
