Activity,Description
Complete 5 Quests,Complete quests throughout Tamriel.
Complete 15 Quests,Complete quests throughout Tamriel.
Defeat 150 Enemies,Defeat foes across Tamriel.
Use Ultimate Skills 20 Times,Unleash Ultimate skills.
Update an Outfit 1 Time,Update an Outfit to complete this activity. Outfit stations can be found in most major cities.
Craft 15 Items with any skill,Craft items using any skill. Crafting stations can be found in most major cities.
Launder 15 Items at Fences,Visit a Fence and launder ill-gotten goods. Fences reside in Outlaw's Refuges beneath most major cities.
Pickpocket 15 Items,Pickpocket items from the citizens of Tamriel.
Loot 50 Containers,"Loot baskets, barrels, nightstands, wardrobes and other containers."
Harvest 50 Resources from the World,"Harvest crafting resources from plants, ore veins, or any other natural deposit."
Visit 5 Player Homes,Visit player homes.
Place 5 Furnishings,Place furnishings from any category in a home you own.
Kill 3 World Bosses 20x20px,Kill world bosses.
Complete 3 Incursions,Overcome Incursions and World Events throughout Tamriel.
Sell 20 Items to Merchants,Sell items to legitimate merchants (not fences).
Acquire 1 New Mundus Stone Boon,Interact with a Mundus Stone and change your Mundus boon.
Claim 5 Rewards from the Daily Login Calendar,Claim Daily Login Calendar Rewards.
Claim 10 Rewards from the Daily Login Calendar,Claim Daily Login Calendar Rewards.
Complete 1 Weekly Endeavor,Complete Weekly Endeavors.
Earn 5 Ranks in a Skill Line,Earn ranks in any skill line. See the Skills menu for how to earn skill line ranks.
Earn 10 Levels,"Earn levels by gaining experience through combat, crafting, and much more."
Improve Bag Capacity 10 Times,"Expand bag capacity at any bag vendor in Tamriel, by acquiring a Bag Space Upgrade, or by improving your Riding Carry Capacity."
Improve Bank Capacity 10 Times,Improve bank capacity at any banker in Tamriel or by acquiring a Bank Space Upgrade.
Improve Riding Skills 5 Times,"Improve Riding Carry Capacity, Speed, or Stamina by taking Riding Lessons from any Stablemaster or by consuming Riding Lesson scrolls."
Consume 5 Drinks,Consume Drinks.
Consume 5 Foods,Consume Foods.
Purchase 1 Item from Guild Traders,Purchase items from any Guild Trader. Guild Traders can be found in most major cities.
