Stormhaven
Place,Boss,Set,Item Name
Wayrest Sewers I,Slimecraw,Combat Physician,Lost Wedding Band
Investigator Garron,Sergeant's Mail,Garron's Cold Betrayal
Uulgarg the Hungry,Toothrow,Uulgarg's Charm
Sergeant's Mail,Smuggler's Luck Beads
The Rat Whisperer,Toothrow,Rattail Necklace
Varaine Pellingare,Sergeant's Mail,Mightmaker
Allene Pellingare,Combat Physician,Wicked Bite
Toothrow,Ratskewer Bow
Place,Boss,Set,Item Name
Wayrest Sewers II,Malubeth the Scourger,Toothrow,Malubeth's Stinger
Skull Reaper,Sergeant's Mail,Reaper's Choker
Uulgarg the Risen,Sergeant's Mail,Ring of the Risen
Combat Physician,Uulgarg's Bones
Garron the Returned,Combat Physician,Garron's Icy Grasp
The Forgotten One,Combat Physician,Loop of the Lost
Allene and Varaine Pellingare,Toothrow,Allene's Deathly Bow
Sergeant's Mail,Varaine's Death Knell
