Script,Effects
Class Flourish,Class Flourish,Depends on class. See Class Flourish page for full details.
Crusader's Defiance,Crusader's Defiance,Removes up to 3 snares or immobilization effects.
Druid's Resurgence,Druid's Resurgence,Restores 1050 Stamina over 10 seconds.
Hunter's Snare,Hunter's Snare,Reduces the Movement Speed of enemies by 40% for 5 seconds.
Incompatible with Healing Vault
Lingering Torment,Lingering Torment,Deals 6290 Physical Damage over 20 seconds to enemies.
Incompatible with Healing Vault
Sage's Remedy,Sage's Remedy,Heals for 3775 Health over 10 seconds.
Thief's Swiftness,Thief's Swiftness,Removes a stack of the Roll Dodge cost penalty and reduces fall damage taken by 15% for 20 seconds.
Wayfarer's Mastery,Wayfarer's Mastery,Grants the bonus of the Hawk Eye passive ability.
