Activity,Description
Kill 80 Foes With Class Abilities,Finish off foes with Class Abilities.
Kill 200 Foes With Class Abilities,Finish off foes with Class Abilities.
Sell 30 Items to Merchants,Sell items to legitimate merchants (not fences).
Complete 10 Quests,Complete quests throughout Tamriel.
Steal 15 Items from the environment,"Steal items from crates, baskets, shelves, and similar places."
Afflict 175 Enemies with Weapon Poisons,Apply consumable poisons to foes via your weapon.
Complete 1 Battleground Match,Complete Battleground matches (win or lose).
Complete 2 Battleground Matches,Complete Battleground matches (win or lose).
Kill 10 Public Dungeon Bosses,Kill Public Dungeon bosses anywhere in Tamriel.
Kill 5 Trial Bosses,Kill Trial bosses anywhere in Tamriel.
Complete 5 Quests in Imperial City,Complete quests in Imperial City.
Deal 500000 Damage in Group Dungeons,Deal damage in Normal or Veteran Group Dungeons.
Earn 8000 Award Medals in Battlegrounds,Earn Award Medals by killing players and completing objectives in Battlegrounds.
Harvest 50 Resources from the World,"Harvest crafting resources from plants, ore veins, or any other natural deposit."
Kill 15 Dangerous Foes,Kill foes with shielded life-bars.
Consume 15 Foods,Consume Foods.
