Quality,6Normal,6Fine,6Superior,6Epic,6Legendary
Max Health
Bonus Range,28-1051 (white) / 70-1093 (green) / 112-1136 (blue) / 154-1164 (purple) / 196-1206 (gold)
Item Level,1,28 (white) / 70 (green) / 112 (blue) / 154 (purple) / 196 (gold)
4,84 (white) / 126 (green) / 168 (blue) / 210 (purple) / 252 (gold)
6,126 (white) / 168 (green) / 210 (blue) / 252 (purple) / 294 (gold)
8,154 (white) / 196 (green) / 238 (blue) / 280 (purple) / 322 (gold)
10,182 (white) / 224 (green) / 266 (blue) / 308 (purple) / 350 (gold)
12,210 (white) / 252 (green) / 294 (blue) / 336 (purple) / 378 (gold)
14,238 (white) / 280 (green) / 322 (blue) / 364 (purple) / 406 (gold)
16,266 (white) / 308 (green) / 350 (blue) / 392 (purple) / 434 (gold)
18,294 (white) / 336 (green) / 378 (blue) / 420 (purple) / 462 (gold)
20,322 (white) / 364 (green) / 406 (blue) / 448 (purple) / 490 (gold)
22,350 (white) / 392 (green) / 434 (blue) / 476 (purple) / 518 (gold)
24,378 (white) / 420 (green) / 462 (blue) / 504 (purple) / 546 (gold)
26,406 (white) / 448 (green) / 490 (blue) / 532 (purple) / 575 (gold)
28,434 (white) / 476 (green) / 518 (blue) / 561 (purple) / 603 (gold)
30,462 (white) / 504 (green) / 546 (blue) / 589 (purple) / 631 (gold)
32,490 (white) / 532 (green) / 575 (blue) / 617 (purple) / 659 (gold)
34,518 (white) / 561 (green) / 603 (blue) / 645 (purple) / 687 (gold)
36,546 (white) / 589 (green) / 631 (blue) / 673 (purple) / 715 (gold)
38,575 (white) / 617 (green) / 659 (blue) / 701 (purple) / 743 (gold)
40,603 (white) / 645 (green) / 687 (blue) / 729 (purple) / 771 (gold)
42,631 (white) / 673 (green) / 715 (blue) / 757 (purple) / 799 (gold)
44,659 (white) / 701 (green) / 743 (blue) / 785 (purple) / 827 (gold)
46,687 (white) / 729 (green) / 771 (blue) / 813 (purple) / 855 (gold)
48,715 (white) / 757 (green) / 799 (blue) / 841 (purple) / 883 (gold)
50,743 (white) / 785 (green) / 827 (blue) / 869 (purple) / 911 (gold)
CP10,743 (white) / 785 (green) / 827 (blue) / 855 (purple) / 897 (gold)
CP20,771 (white) / 813 (green) / 855 (blue) / 883 (purple) / 925 (gold)
CP30,785 (white) / 827 (green) / 869 (blue) / 897 (purple) / 939 (gold)
CP40,813 (white) / 855 (green) / 897 (blue) / 925 (purple) / 967 (gold)
CP50,827 (white) / 869 (green) / 911 (blue) / 939 (purple) / 981 (gold)
CP60,855 (white) / 897 (green) / 939 (blue) / 967 (purple) / 1009 (gold)
CP70,869 (white) / 911 (green) / 953 (blue) / 981 (purple) / 1023 (gold)
CP80,897 (white) / 939 (green) / 981 (blue) / 1009 (purple) / 1051 (gold)
CP90,911 (white) / 953 (green) / 995 (blue) / 1023 (purple) / 1065 (gold)
CP100,939 (white) / 981 (green) / 1023 (blue) / 1051 (purple) / 1093 (gold)
CP110,953 (white) / 995 (green) / 1037 (blue) / 1065 (purple) / 1107 (gold)
CP120,981 (white) / 1023 (green) / 1065 (blue) / 1093 (purple) / 1136 (gold)
CP130,995 (white) / 1037 (green) / 1079 (blue) / 1107 (purple) / 1150 (gold)
CP140,1023 (white) / 1065 (green) / 1107 (blue) / 1136 (purple) / 1178 (gold)
CP150,1037 (white) / 1079 (green) / 1122 (blue) / 1150 (purple) / 1192 (gold)
CP160,1051 (white) / 1093 (green) / 1136 (blue) / 1164 (purple) / 1206 (gold)
