Icon,Name,Description
File:ON-icon-Vengeance-Red Perk-Spellward.png,Spellward,Increases your Spell Resistance by 2974. Decreases your Physical Resistance by 2974.
File:ON-icon-Vengeance-Red Perk-Barricade.png,Barricade,Increases your Physical Resistance by 2974. Decreases your Spell Resistance by 2974.
File:ON-icon-Vengeance-Red Perk-Bolster Sturdiness.png,Bolster Sturdiness,Increases your Max Health by 3%.
File:ON-icon-Vengeance-Red Perk-Bolster Armor.png,Bolster Armor,Increases your Armor by 1487.
File:ON-icon-Vengeance-Red Perk-Bolster Sorcery.png,Bolster Sorcery,Increases your damage done with Magical attacks by 5%. Reduces your Max Health by 5%.
File:ON-icon-Vengeance-Red Perk-Bolster Strength.png,Bolster Strength,Increases your damage done with Martial attacks by 5%. Reduces your Max Health by 5%.
File:ON-icon-Vengeance-Red Perk-Bolster Penetration.png,Bolster Penetration,Increases your Offensive Penetration by 2974. Reduces your Armor by 2974.
File:ON-icon-Vengeance-Red Perk-Bolster Healing.png,Bolster Healing,Increases your healing done by 8%. Reduces your damage done by 5%.
File:ON-icon-Vengeance-Red Perk-Bolster Critical.png,Bolster Critical,Increases your Critical Damage and Critical Healing by 11%. Reduces your Critical Chance by 1314.
File:ON-icon-Vengeance-Red Perk-Bolster Accuracy.png,Bolster Accuracy,Increases your Critical Chance by 1314. Reduces your Critical Damage and Critical Healing by 11%.
File:ON-icon-Vengeance-Red Perk-Bolster Class Accuracy.png,Bolster Class Accuracy,Increases your Critical Chance with Class abilities by 1314. Reduces your Critical Chance with non-Class abilities by 1314.
File:ON-icon-Vengeance-Red Perk-Bolster Ferocity.png,Bolster Ferocity,Increases your damage done by 5%. Reduces your Critical Damage by 11%.
File:ON-icon-Vengeance-Red Perk-Bolster Resistance.png,Bolster Resistance,Increases your Critical Resistance by 848. Reduces your Critical Chance by 1314.
File:ON-icon-Vengeance-Red Perk-Bolster Ally's Life.png,Bolster Ally's Life,Increases your healing done by 8%. Reduces your healing taken by 8%.
File:ON-icon-Vengeance-Red Perk-Siege Safeguard.png,Siege Safeguard,You take 10% reduced damage from siege engines.
File:ON-icon-Vengeance-Red Perk-Incendiary Retaliation.png,Incendiary Retaliation,"When you die, after a 1 second delay, an alchemical reaction deals 17850 Flame Damage to up to 3 enemies within 8 meters of your corpse."
File:ON-icon-Vengeance-Red Perk-Revenant's Sacrifice.png,Revenant's Sacrifice,"Gain 1206 Health, 1096 Magicka, and 1096 Stamina due to your eternal nature. Each time you die, you become temporarily fragile and lose 1487 Armor. Your return to life increases the bonus to Health, Magicka, and Stamina by 100%, up to 10 times."
File:ON-icon-Vengeance-Red Perk-Vigilant Guard.png,Vigilant Guard,Your alliance battle training grants you insight into standard troop tactics. Reduce damage taken from non-players by 5%.
File:ON-icon-Vengeance-Red Perk-Bolster Temerity.png,Bolster Temerity,Alliance battlefields are no place for the timid! Your daring increases your Max Health by 1206 and Armor by 1487. Reduces your Block Mitigation by 14%.
File:ON-icon-Vengeance-Red Perk-Bolster Efficacy.png,Bolster Efficacy,"You mastered martial and magical shortcuts, which increases your damage done and healing done by 3%. The concentration required to use these shortcuts increased your ability costs by 5%."
