Activity,Description
Complete 5 Quests,Complete quests throughout Tamriel.
Complete 10 Quests,Complete quests throughout Tamriel.
Dig Up 5 Chests from Treasure Maps,Follow Treasure Maps and dig up their Treasure Chests.
Complete 8 Incursions,Overcome Incursions and World Events throughout Tamriel.
Destroy 1 Dark Anchor,Destroy Dark Anchors sent to Tamriel by Molag Bal.
Destroy 5 Dark Anchors,Destroy Dark Anchors sent to Tamriel by Molag Bal.
Kill 3 World Bosses,Kill world bosses.
Kill 5 Public Dungeon Bosses,Kill Public Dungeon bosses anywhere in Tamriel.
Kill 3 Trial Bosses,Kill Trial bosses anywhere in Tamriel.
Kill 7 Delve Bosses,Kill Delve bosses.
Kill 10 Group Dungeon Bosses,Kill bosses in Normal or Veteran Group Dungeons.
Kill 500 Enemies,Defeat foes across Tamriel.
Improve Riding Skills 8 Times at a Stablemaster,"Improve Riding Carry Capacity, Speed or Stamina by taking Riding Lessons from any Stablemaster."
Catch 35 Fish,Catch Fish.
Craft 60 Items with any skill,Craft items using any skill. Crafting stations can be found in most major cities.
Earn 10 Ranks in a Skill Line,Earn ranks in any skill line. See the Skills menu for how to earn skill line ranks.
Deal 600000 Damage to Training Dummies inside a home,Deal damage to Training Dummies in any home. Training Dummies can be placed in a Home as a furnishing.
Earn 12 Event Tickets,Earn tickets during the current event.
